abandon: abandon,abandoned,abandons
spear: spear
special: special
specially: specially
speech: speech
speed: sped
speedily: speedily
speedy: speedy
spell: spells
spelt: spelt
spend: spent
spending: spending
spendthrift: spendthrift
sphere: sphere
spice: spices
spindle: spindle
spine: spine
spirit: spirit,spirits
spiritual: spiritual
spirt: spirts
spit: spits
spite: spite
splendor: splendors
splinter: splinter,splinters
split: split
spoil: spoil,spoiled,spoils
spool: spool
sport: sport
spot: spotted
spotted: spotted
spouse: spouse
spread: spread,spreads
spring: sprang,spring,springs
spur: spur,spurs
sqq: sqq
squall: squalls
squander: squanders
square: square
squat: squatted
stab: stabbed
staff: staff
stage: stage
stagnate: stagnates
staid: staid
stain: stained
stair: stairs
stairway: stairway
stake: stake,stakes
stamp: stamped
stand: stand,standing,stands,stood
standard: standard
standing: standing
star: star,stars
starless: starless
starling: starlings
start: start,started,starting
startled: startled
starve: starved
statement: statement,statements
station: station
statue: statue
status: status
stay: stay,stayed,stays
stead: stead
steadfast: steadfast
steadily: steadily
steady: steady
steal: steal,steals,stole,stolen
steel: steel
steep: steep,steeper,steeps
stem: stem
stench: stench
step: step,steps
stepson: stepson
stern: stern
stick: sticks,stuck
sticky: sticky
stiff: stiff
stifle: stifled,stifling
sting: stings,stung
stink: stinks
stock: stocks
stone: stone,stones
stony: stony
stoop: stoop
store: store,stored
stork: stork
storm: storm
story: story
straggle: straggle
straight: straight
straighten: straighten,straightened,straightening
straightway: straightway
strain: strain
strained: strained
strait: strait
strange: strange
stratagem: stratagem
straw: straw
streak: streaked
stream: stream,streamed
streamlet: streamlet
strength: strength
stress: stress
stretch: stretch,stretched,stretches,stretching
strict: strict
strictly: strictly
strife: strife
strike: strike,strikes,struck
strip: strip,stripped,strips
strive: strove
stroke: stroke
strong: strong
stronghold: stronghold,strongholds
structure: structure
struggle: struggle
strumpet: strumpet
student: student
study: study
stuff: stuffs
stump: stumps
stun: stun
stupidity: stupidity
sty: sty
style: style
styx: styx
subdue: subdues
subject: subject,subjects
sublimate: sublimated
submerge: submerged
suborn: suborned
subscribe: subscribe
subsequent: subsequent
substance: substance
subtle: subtle
subtly: subtly
succeed: succeeded
successive: successive
successor: successor,successors
succor: succor
suck: sucking
sudden: sudden
suddenly: suddenly
suffer: suffer,suffered
sufferer: sufferer,sufferers
suffering: suffering,sufferings
suffice: suffice
sufficient: sufficient
suggestion: suggestion
sullen: sullen
summa: summa
summer: summer
summit: summit
summon: summoned
sun: sun,suns
sunrise: sunrise
sunt: sunt
superb: superb
superfluity: superfluity
superfluous: superfluous
supernal: supernal
supernatural: supernatural
supine: supine
supply: supplied,supplies
support: support
suppose: supposed
supreme: supreme
surely: surely
surface: surface
surmount: surmount
surpass: surpassed
surprise: surprised
surrender: surrendered
surround: surrounded,surrounding,surrounds
survive: survive
suspend: suspended
suspense: suspense
suspicion: suspicion
sustain: sustain,sustained
swallow: swallowed,swallows
swamp: swamp
swathe: swathed
sway: sway,sways
swear: swear
sweat: sweat
sweet: sweet,sweeter
sweeten: sweeten
sweetness: sweetness
swell: swelling,swells,swollen
swift: swift,swifter
swiftly: swiftly
swiftness: swiftness
swim: swimming,swims
swindle: swindle
swine: swine
swollen: swollen
swoon: swooned,swoons
swoop: swoops
sword: sword
sylvester: sylvester
symbol: symbol
sympathetic: sympathetic
sympathy: sympathy
synonymous: synonymous
tack: tacking
tail: tail
tailor: tailor
tale: tale
talk: talking
tall: tall,tallest
talon: talons
tarquin: tarquin
tartar: tartars
tavern: tavern
tax: tax,taxed,taxes
teach: taught,teach
teacher: teacher
tear: tear,tearing,tears,tore,torn
tearful: tearful
teller: tellers
temper: temper,tempers
tempest: tempest
temple: temple,temples
tenacious: tenacious
tenderly: tenderly
tenebrous: tenebrous
tenth: tenth
terence: terence
term: terms
terrestrial: terrestrial
terrible: terrible
terribly: terribly
terror: terror
testimony: testimony
textual: textual
thai: thais
thames: thames
thebaid: thebaid
thebais: thebais
theban: theban
thee: thee
theft: theft
theme: theme
thenceforth: thenceforth
theology: theology
theory: theory
thereat: thereat
therefor: therefor
therefrom: therefrom
thereon: thereon
therewith: therewith
therewithin: therewithin
theseus: theseus
thicken: thickened,thickens
thicket: thickets
thief: thief,thieves
thievish: thievish
thigh: thigh,thighs
thine: thine
thinking: thinking
thirst: thirst
thirsty: thirsty
thirteenth: thirteenth
thither: thither
thitherward: thitherward
thomas: thomas
thorn: thorn,thorns
thread: thread
threaten: threaten,threatened,threatening,threatens
threshold: threshold,thresholds
thrive: thrive
throat: throat,throats
thrones: thrones
throng: throng
throw: threw,throw,throwing,thrown,throws
thrust: thrust,thrusting,thrusts
thumb: thumb
thunder: thunder,thunders
thunderbolt: thunderbolt
thy: thy
thyself: thyself
tiber: tiber
tie: tied
tierce: tierce
tight: tight
tilled: tilled
time: time,times
times: times
tinder: tinder
tinge: tinged
tinted: tinted
tire: tire
tired: tired
tiresias: tiresias
tisiphone: tisiphone
title: title
toe: toes
token: tokens
tomb: tomb,tombs
tone: tone
tongue: tongue,tongues
tonsured: tonsured
tooth: teeth
torment: torment,tormented,torments
torture: torture
touch: touch,touched,touches,touching
tournament: tournaments
tower: tower,towers
town: town,towns
trace: trace,traced
track: tracks
trademark: trademark
tradition: tradition
trafficker: trafficker
tragedy: tragedy
train: train,trained
traitor: traitor,traitors
traitorous: traitorous
trample: trample,trampling
transcribe: transcribe
transcription: transcription
transfer: transfer
transfix: transfixed
transform: transformed
transit: transit
translate: translated
translation: translation,translations
translator: translator
transmit: transmitted
transmutation: transmutation
transmute: transmute,transmuted
travail: travails
traverse: traversed,traversing
treacherous: treacherous
treacherously: treacherously
treachery: treachery
tread: treads
treasure: treasure
treat: treat,treats
treatise: treatise
treatment: treatment
tree: tree,trees
tremble: tremble,trembled,trembles,trembling
trent: trent
trentine: trentine
tress: tresses
trial: trial
tribulation: tribulation
tribune: tribune
tributary: tributaries
trick: tricked
trickle: trickled,trickles
triple: triple
tristan: tristan
triumph: triumph
trodden: trodden
trojan: trojan,trojans
troop: troop
troops: troops
troubadour: troubadour
trouble: trouble,troubles
troubled: troubled
trough: trough
troy: troy
truce: truce
true: true
trump: trump
trumpet: trumpet,trumpets
trunk: trunk
trust: trust,trusting
trusty: trusty
truth: truth,truths
tumult: tumult
tumultuous: tumultuous
tune: tune
turbid: turbid
turks: turks
tuscan: tuscan
tuscany: tuscany
tusk: tusk,tusked
twentieth: twentieth
twig: twig
twilight: twilight
twine: twined
twist: twisted,twisting,twists
twisting: twisting
tydeus: tydeus
type: type,types
typhon: typhon
typical: typical
typify: typified
tyranny: tyranny
tyrant: tyrant,tyrants
ugly: uglier
ultra: ultra
ulysses: ulysses
umbrae: umbrae
unalterable: unalterable
unbelief: unbelief
unbound: unbound
unbounded: unbounded
unbroken: unbroken
uncertain: uncertain
unchanged: unchanged
uncle: uncle
uncover: uncovered
undaunted: undaunted
undeceive: undeceive
undergo: undergoing
understand: understand,understanding,understands,understood
understanding: understanding
undertake: undertook
undiscerning: undiscerning
undo: undo,undone
unending: unending
unenforceability: unenforceability
uneven: uneven
unfettered: unfettered
ungodly: ungodly
ungrappler: ungrappler
ungrateful: ungrateful
unhealthy: unhealthy
uniform: uniform
uninhabited: uninhabited
unite: united
united: united
universe: universe
unjust: unjust
unknown: unknown
unleash: unleashed
unlink: unlink
unlock: unlock,unlocked,unlocking,unlocks
unmade: unmade
unmeet: unmeet
unnerve: unnerves
unperplexed: unperplexed
unprotected: unprotected
unseemly: unseemly
unsolicited: unsolicited
unsound: unsound
unspoken: unspoken
unsuitable: unsuitable
untimely: untimely
unusual: unusual
unwilling: unwilling
unwillingly: unwillingly
update: updated
uplift: uplifted
upper: upper
uppermost: uppermost
upright: upright
uprise: uprisen
uprisen: uprisen
uproar: uproar
upside: upside
upward: upward
urge: urge,urged,urges
user: user
usurer: usurer,usurers
usurers: usurers
usury: usury
ut: ut
utter: uttered,uttering
utterly: utterly
vacant: vacant
vain: vain
val: val
valley: valley,valleys
valleyward: valleyward
valor: valor
valuable: valuable
vanilla: vanilla
vanish: vanished,vanishes
vanquish: vanquished,vanquishes
vantage: vantage
vapor: vapor,vapors
variety: variety
vary: vary,varying
vast: vast
vatican: vatican
vaunt: vaunt
veil: veil,veiling,veils
vein: veins
venerate: venerated
venetian: venetians
vengeance: vengeance
venomous: venomous
vent: vent
venus: venus
veracious: veracious
verbal: verbal
verdant: verdant
verdure: verdure
verge: verge
verily: verily
vermilion: vermilion
vermillion: vermillion
verona: verona
veronese: veronese
verse: verse,verses
versified: versified
version: version,versions
vert: vert
vespers: vespers
vessel: vessel,vessels
vest: vested
vex: vex,vexed
vexilla: vexilla
vibration: vibration
vice: vice,vices
victory: victory
vie: vying
view: view,viewed,viewing
vigil: vigil
vii: vii
viii: viii
vilely: vilely
vineyard: vineyard
vintage: vintage
violate: violates
violence: violence
violent: violent
violently: violently
virgil: virgil
virgin: virgin
virtue: virtue
virtues: virtues
virtuously: virtuously
virus: virus
visage: visage
visible: visible
vision: vision
visit: visit,visiting
visor: visor
vital: vital
vitality: vitality
viva: viva
vivid: vivid
voice: voice,voices
void: void
volume: volume,volumes
volunteer: volunteer,volunteers
vow: vow,vows
voyage: voyage
vulcan: vulcan
vulgar: vulgar
wail: wailing,wails
wain: wain
wait: wait,waited,waiting,waits
waiting: waiting
wake: wakes,waking
waken: wakened
walk: walking,walks
wall: wall,walls
wand: wand
wander: wandered,wanders
war: war
warfare: warfare
warm: warm
warmly: warmly
warn: warn
warp: warp
warranty: warranties,warranty
wary: wary
wash: wash
wasp: wasps
wast: wast
waste: waste,wasted
watch: watching
water: water,waters
wave: wave,waves,waving
waver: waver
wax: wax
weak: weak
weakening: weakening
wealth: wealth
weapon: weapons
wear: wore
wearer: wearer
wearisome: wearisome
weary: wearies,weary
weave: woven
week: week
weep: weep,weeping,weeps,wept
weigh: weigh,weighs
weight: weight,weights
west: west
westward: westward
wet: wet
whale: whales
whatso: whatso
whatsoever: whatsoever
wheel: wheel,wheeled,wheeling,wheels
wheeled: wheeled
wheeling: wheeling
whelp: whelps
whereat: whereat
wherefor: wherefor
wherefore: wherefore
wherefrom: wherefrom
whereof: whereof
whereon: whereon
whereto: whereto
wherewith: wherewith
whip: whip
whirl: whirl,whirled,whirling,whirls
whirlwind: whirlwind
whistle: whistle
white: white,whiter
whitened: whitened
whites: whites
wholly: wholly
whomsoever: whomsoever
whoso: whoso
wi: wi
wicked: wicked
wide: wide,widest
widespread: widespread
wife: wife,wives
wild: wild
willed: willed
willingly: willingly
wilt: wilt
wily: wily
win: win,wins
wind: wind,winding,winds,wound
window: window
wing: wing,wings
winter: winter,winters
wipe: wiping
wisdom: wisdom
wise: wise
wit: wit
withal: withal
withdraw: withdrawn,withdraws,withdrew
withe: withes
withstand: withstanding
witness: witness
wizard: wizard
woe: woe
woeful: woeful
wolf: wolf
woman: woman,women
women: women
wonderfully: wonderfully
wood: wood
wooden: wooden
woof: woof
word: word
worm: worm,worms
worship: worship,worships
worth: worth
worthy: worthies,worthy
wouldst: wouldst
wound: wound,wounded,wounds
wounded: wounded
wrap: wrapped
wrath: wrath
wrathful: wrathful
wretch: wretch,wretches
wretched: wretched
write: write,writes,writing,written,wrote
writer: writer,writers
writhe: writhed,writhes
writing: writing
wrong: wrong,wronged,wrongs
wrongfully: wrongfully
wroth: wroth
xi: xi
xii: xii
xiii: xiii
xiv: xiv
xix: xix
xvi: xvi
xvii: xvii
xviii: xviii
xx: xx
xxi: xxi
xxii: xxii
xxiii: xxiii
xxiv: xxiv
xxv: xxv
xxx: xxx
yawn: yawned,yawns
yellow: yellow
yest: yester
yesterday: yesterday
yesternight: yesternight
yield: yielded
yond: yonder
yonder: yonder
youth: youth,youths
zenith: zenith
