abate: abate,abated
multiply: multiplied,multiply,multiplying
mummy: mummy
murder: murder,murdered,murdering,murders
murderer: murderers
muscle: muscles
music: music
musical: musical
musket: musket,muskets
mutiny: mutiny
mutton: mutton
mutual: mutual
mutually: mutually
muzzle: muzzle
mysterious: mysterious
mystery: mystery
nag: nag,nags
nail: nail,nails
naked: naked
nakedness: nakedness
nameless: nameless
nap: nap
narrow: narrow
narrowly: narrowly
narrowness: narrowness
nastiness: nastiness
nation: nation,nations
national: national
native: native,natives
nativity: nativity
natural: natural
naturalist: naturalists
naturally: naturally
nature: nature,natures
natured: natured
nauseous: nauseous
navigation: navigation
nearer: nearer
neat: neat
neatly: neatly
necessaries: necessaries
necessity: necessities,necessity
neck: neck
necklace: necklace
necromancy: necromancy
needle: needle,needles
needless: needless
needlework: needlework
neglect: neglect,neglected
negligence: negligence
negotiation: negotiations
neigh: neighed,neighing
neighbour: neighbour,neighbouring,neighbours
neighbourhood: neighbourhood
nephew: nephew
nerve: nerves
nest: nests
nettle: nettled
network: network
newark: newark
newgate: newgate
newly: newly
news: news
newsletter: newsletter
niagara: niagara
nice: nice
nicely: nicely
nicety: nicety
niche: niches
nicholas: nicholas
night: night,nights
nile: nile
nimble: nimble
nimbly: nimbly
ninth: ninth
nipple: nipple,nipples
nitre: nitre
nobility: nobility
noble: noble,nobles,noblest
nobleman: nobleman,noblemen
nod: nod
noise: noise
noisome: noisome
noisy: noisy
nonproprietary: nonproprietary
noon: noon
north: north
northerly: northerly
northern: northern
northward: northward
nose: nose
nostril: nostril
note: note,notes
notice: notice
notify: notifies
notion: notion,notions
notorious: notorious
noun: nouns
nourishing: nourishing
nourishment: nourishment
november: november
noxious: noxious
nucleus: nucleus
numberless: numberless
numerous: numerous
nurse: nurse,nurses
nursery: nurseries,nursery
nut: nut
nutriment: nutriment
nuzzle: nuzzling
oak: oak
oar: oar,oars
oat: oat
oath: oath,oaths
oats: oats
obedience: obedience
obeisance: obeisances
obey: obey,obeyed
object: object,objected,objects
objection: objection,objections
obligation: obligation,obligations
oblige: oblige,obliged,obliging
obliged: obliged
oblique: oblique
obliquely: obliquely
obliquity: obliquity
oblivion: oblivion
obnoxious: obnoxious
obscure: obscure,obscured
obscurest: obscurest
obsequious: obsequious
observation: observation,observations
observe: observe,observed,observing
observer: observers
obsolete: obsolete
obstinacy: obstinacy
obstinate: obstinate
obtrude: obtrude
obvious: obvious
occasion: occasion,occasioned,occasions
occiput: occiput,occiputs
occult: occult
occupation: occupations
occur: occur,occurred
ocean: ocean
october: october
odd: odd
oddly: oddly
odious: odious
odiousness: odiousness
odour: odour
offence: offence
offend: offended,offending
offended: offended
offensive: offensive
offensively: offensively
offer: offer,offered,offering,offers
office: office,offices
officer: officer,officers
official: official
officiously: officiously
oils: oils
ointment: ointment
olive: olive
ominous: ominous
omission: omission
omit: omit
online: online
ooze: ooze
opaque: opaque
operate: operate,operated
operation: operation,operations
operator: operator,operators
opinion: opinion,opinions
opinionated: opinionated
opinionative: opinionative
opportunity: opportunities,opportunity
oppose: oppose,opposed
opposition: opposition
oppressed: oppressed
oppression: oppression
oppressive: oppressive
optics: optics
oracle: oracle
orange: orange
oration: oration
orator: orator,orators
oratory: oratory
orderly: orderly
ordinary: ordinary
ordure: ordure
organ: organs
organize: organized
orifice: orifice
original: original,originals
originally: originally
originator: originator
ornament: ornament,ornaments
ornamental: ornamental
orthography: orthography
outdated: outdated
outer: outer
outermost: outermost
outline: outlines
outlive: outlive,outliving
outward: outward
outwardly: outwardly
oven: oven
overbearing: overbearing
overblow: overblow
overboard: overboard
overburdened: overburdened
overcome: overcome
overflow: overflowing
overhear: overheard
overlook: overlooked
overmatch: overmatch
overmatched: overmatched
overrun: overrun,overrunning
overset: overset
overstock: overstocked
overt: overt
overtake: overtake,overtaken,overtook
overthrow: overthrew
overturn: overturned,overturning
overwhelming: overwhelming
owe: owe,owed
owner: owner,owners
ox: ox
oxen: oxen
oxford: oxford
oyster: oysters
pace: pace,paced,paces
pacific: pacific
pacify: pacify
pack: pack,packs
packthread: packthread,packthreads
paddle: paddle,paddled,paddles,paddling
padlock: padlocks
pail: pail
pain: pain,pains
painful: painful
paint: painted
painter: painters
pair: pair
palace: palace
palatable: palatable
pale: pale
palm: palm,palms
pane: pane
panegyric: panegyric
pannel: pannel
papa: papa
paper: paper,papers
paperwork: paperwork
par: par
paragraph: paragraph,paragraphs
parallel: parallel
parallelogram: parallelograms
parasite: parasites
parcel: parcel
parched: parched
pardon: pardon,pardoned
pare: paring
parent: parent,parents
parish: parish
parity: parity
park: park
parliament: parliament
partial: partial
partiality: partialities,partiality
participle: participles
particle: particles
particulars: particulars
partition: partition,partitions
partly: partly
partridge: partridges
party: parties,party
pass: pass,passed,passes,passing
passage: passage,passages
passenger: passengers
passing: passing
passion: passion,passions
passionately: passionately
paste: paste,pasted
pasteboard: pasteboard
pastern: pastern
pastime: pastimes
pastor: pastors
pat: patting
patch: patch
patent: patent
path: path,paths
patience: patience
patient: patient,patients
patrick: patrick
patrimony: patrimonies
patron: patron
pattern: pattern
paul: paul
pavement: pavements
paw: paw,pawing,paws
pawn: pawned
pay: paid,pay,paying
payment: payment,payments
pea: peas
peace: peace
peaceably: peaceably
pearl: pearls
pebble: pebbles
peccant: peccant
peck: peck
peculiar: peculiar
pecuniary: pecuniary
pedant: pedants
pedlar: pedlars
pedro: pedro
peep: peeped
peeping: peeping
peers: peers
peevish: peevish
peg: pegs
pelt: pelt,pelted
pen: pen,penning
penalty: penalties
pence: pence
pencil: pencil
peninsula: peninsula
penknife: penknife
penny: penny
pension: pension
people: peoples
perceivably: perceivably
perceive: perceive,perceived,perceiving
perception: perception
perch: perch
percolate: percolate
perfect: perfect
perfection: perfection
perfectly: perfectly
perfidiousness: perfidiousness
perform: perform,performed,performing,performs
performance: performance,performances
performer: performers
perfume: perfumes
perihelion: perihelion
peril: peril
period: period,periods
periodic: periodic
periodical: periodical
perjury: perjury
permanent: permanent
permission: permission
permit: permit,permitted
pernicious: pernicious
perpendicularly: perpendicularly
perpetual: perpetual
perpetually: perpetually
perpetuity: perpetuity
perplex: perplex
perplexed: perplexed
perplexity: perplexities,perplexity
persecute: persecuted
persecution: persecution
persecutor: persecutors
persian: persian
person: people,person,persons
personal: personal
personally: personally
perspective: perspective
persuade: persuade,persuaded,persuading
pert: pert
peruse: perused
perverse: perverse
perverseness: perverseness
pervert: pervert,perverting
perverting: perverting
pester: pestered
pestilence: pestilence
peter: peter
petition: petition,petitions
petrify: petrifying
petticoat: petticoat
petulancy: petulancy
phaeton: phaeton
phenomenon: phenomenon
phial: phials
philosopher: philosopher,philosophers
philosophical: philosophical
philosophise: philosophise
philosophy: philosophy
phrase: phrase,phrases
phraseology: phraseology
physic: physic
physical: physical
physician: physician,physicians
pick: pick,picked,picking
pickpocket: pickpocket,pickpockets
picture: picture
piece: piece,pieces
piecemeal: piecemeal
pierce: pierce,pierced,piercing
piety: piety
pigmy: pigmies
pike: pike,pikes
pile: pile,piles
pillage: pillage
pillar: pillar,pillars
pillion: pillion
pillory: pillories
pillow: pillows
pilot: pilot,pilots
pimp: pimping,pimps
pimping: pimping
pimple: pimples
pin: pin,pins
pinch: pinch,pinched
pine: pine
pinion: pinioned
pink: pinks
pinnacle: pinnacle
pint: pint
pious: pious
pipe: pipes
pippin: pippin
pirate: pirate,pirates
pistol: pistols
pistole: pistoles
pit: pit,pits
pitch: pitched
pittance: pittance
pity: pity
plague: plague
plain: plain,plainest
plainly: plainly
plaintiff: plaintiff
plane: plane,planes
planet: planet,planets
plank: plank
plant: planted,planting,plants
plantation: plantations
plaster: plastered
plate: plate,plates
plato: plato
plausibility: plausibility
plausible: plausible
play: play,played,playing,plays
player: players
plaything: plaything
plead: plead,pleaded,pleading
pleader: pleaders
pleading: pleading
pleasant: pleasant
pleasantly: pleasantly
pleased: pleased
pleasing: pleasing
pleasure: pleasure,pleasures
pledge: pledges
plentifully: plentifully
plenty: plenty
plot: plot,plots
plough: ploughing,ploughs
plumb: plumb,plumbed
plume: plume
plunder: plunder,plundering
pocket: pocket,pockets
poet: poet
poetry: poetry
poise: poised
poison: poison,poisoned,poisons
poisoning: poisoning
poisonous: poisonous
poke: poked
polar: polar
pole: pole,poles
policy: policy
polish: polish
polite: polite,politest
politeness: politeness
politer: politer
political: political
politician: politician,politicians
politics: politics
pollute: polluted
polysyllable: polysyllables
pomp: pomp
pompey: pompey
pond: pond
ponderous: ponderous
poor: poor
populous: populous
pork: pork
port: port,ports
portend: portending
porter: porters
portion: portion
portuguese: portuguese
position: position,positions
positive: positive
positiveness: positiveness
possess: possess,possessed
possession: possession,possessions
possibility: possibility
post: post,posted,posts
posterior: posterior,posteriors
posterity: posterity
postillion: postillion
posture: posture
pot: pot,pots
potent: potent
potion: potion
pouch: pouch
pound: pounds
pour: poured
poverty: poverty
powder: powder
power: power,powers
powerful: powerful
pox: pox,poxes
practical: practical
practically: practically
practice: practice,practices
practise: practise,practised,practising
practising: practising
praise: praise,praises
prate: prating
pravity: pravity
pray: pray
precede: preceded,preceding
precedent: precedents
precept: precept,precepts
precinct: precincts
precious: precious
precipice: precipice
precipitancy: precipitancy
precipitate: precipitated
predecessor: predecessor,predecessors
predict: predicted
prediction: predictions
preface: preface
prefer: prefer,preferred,preferring
preferable: preferable
preferment: preferment
pregnant: pregnant
prejudice: prejudice,prejudices
prejudicial: prejudicial
prelate: prelate
preparation: preparations
prepare: prepare,prepared,preparing
prepared: prepared
prescribe: prescribed
prescription: prescription,prescriptions
presence: presence
presently: presently
preservation: preservation
preserve: preserve,preserved,preserving
preside: preside,presided,presides,presiding
press: press,pressed
pressure: pressure
presume: presume,presumed
presumptuous: presumptuous
pretence: pretence
pretend: pretend,pretended,pretending
pretension: pretensions
pretty: pretty
prevail: prevail,prevailed,prevailing
prevent: prevent,prevented,prevents
previous: previous
prey: prey
price: price
prick: pricked
pride: pride,priding
priest: priest,priests
priesthood: priesthood
primary: primary
prime: prime
primitive: primitive
prince: prince,princes
princess: princess,princesses
principal: principal,principals
principally: principally
principle: principle,principles
print: print,printed
printer: printer
printing: printing
prison: prison
prisoner: prisoner
private: private
privately: privately
privilege: privilege,privileges
privy: privy
prize: prizes
probability: probability
probable: probable
problematical: problematical
proceed: proceed,proceeded,proceeding,proceeds
proceeding: proceeding
proceedings: proceedings
proceeds: proceeds
process: process
processing: processing
proclamation: proclamation,proclamations
procure: procure,procured,procures
procurement: procurement
prodigious: prodigious
prodigiously: prodigiously
prodigy: prodigy
produce: produce,produced,producing
production: production,productions
profane: profane
profess: professed,professing
profession: profession
professor: professor,professors
proficiency: proficiency
profit: profit,profits
profitable: profitable
profound: profound
profusion: profusion
prognostic: prognostics
progress: progress,progresses
progressive: progressive
prohibition: prohibition
project: project,projecting,projects
projector: projector,projectors
prominence: prominence
prominent: prominent
prominently: prominently
promise: promise,promised,promises
promote: promoted,promoting
promotion: promotion
prompt: prompted
pronounce: pronounce,pronounced,pronouncing
pronounced: pronounced
proof: proof,proofs
proofread: proofread
propagate: propagate,propagated,propagating
propensity: propensity
proper: proper
properly: properly
property: properties,property
prophet: prophet,prophets
proportion: proportion,proportioned
proportionable: proportionable
proportionably: proportionably
proposal: proposal,proposals
propose: proposed,proposes,proposing
proposition: proposition,propositions
proprietary: proprietary
proprietor: proprietor,proprietors
prose: prose
prosecute: prosecuting
prosecutor: prosecutors
prospect: prospect
prosperity: prosperity
prosperous: prosperous
prostitute: prostitute,prostituted
prostituting: prostituting
prostrate: prostrate,prostrating
protect: protect,protected
protection: protection
protector: protector
protest: protested,protesting
protestant: protestants
prouder: prouder
prove: prove,proved,proving
proverb: proverb
provide: provide,providing
providence: providence
province: province,provinces
provincial: provincial
provision: provision,provisions
provocation: provocation
provocative: provocative
provoke: provoked
prow: prow
prudence: prudence
prudent: prudent
public: public
publication: publication
publicly: publicly
publish: publish,published,publishing
publisher: publisher
pudding: pudding,puddings
pudenda: pudenda
puissant: puissant
pull: pull,pulled,pulling
pulley: pulleys
pulse: pulses
pump: pump
pumpkin: pumpkin
punish: punish,punished
punishment: punishment,punishments
punitive: punitive
pupil: pupils
puppy: puppy
purchase: purchase,purchased
pure: pure
purely: purely
purge: purge
purpose: purpose
purring: purring
purse: purse,purses
pursuant: pursuant
pursue: pursue,pursued,pursuing
pursuit: pursuit
purulent: purulent
push: push,pushed,pushing
pyramid: pyramids
quadrangular: quadrangular
quadrant: quadrant,quadrants
quadruped: quadruped,quadrupeds
quadruply: quadruply
qualification: qualifications
qualified: qualified
qualify: qualify,qualifying
quality: qualities,quality
quantity: quantity
quantum: quantum
quarrel: quarrel,quarrels
quarrelling: quarrelling
quarrelsome: quarrelsome
quarry: quarry
quart: quart
quarter: quarter,quarters
quasi: quasi
queen: queen
quell: quelled
quench: quench
query: queries
question: question,questions
quick: quick
quiet: quiet
quietly: quietly
quilt: quilt,quilted
quilted: quilted
quilting: quilting
quit: quitted
quiver: quiver
rabbit: rabbit,rabbits
rabble: rabble
race: race,races,racing
rack: rack
raffle: raffle,raffling
rag: rags
rage: rage
ragged: ragged
rail: railing
raillery: raillery
rain: rain,rains
raise: raise,raised,raising
rally: rallied,rally
ram: rammed,rams
ramus: ramus
rancid: rancid
range: range
rank: rank,ranked,ranks
ranting: ranting
rap: rapping
rape: rapes
rapine: rapine
rapt: rapt
rapture: rapture
rare: rare
rarely: rarely
rarity: rarities,rarity
rascal: rascal,rascals
rashness: rashness
rat: rat,rats
rate: rate,rated
rational: rational
rattle: rattle
rave: raving
ravenous: ravenous
ravish: ravishing
ravisher: ravishers
raw: raw
ray: rays
razor: razor
reach: reach,reached,reaches,reaching
read: read,reading
readable: readable
reader: reader,readers
readiness: readiness
reading: reading
ready: ready
real: real
reality: reality
realm: realm,realms
reap: reap,reaping
reaper: reapers
rear: reared
reason: reason,reasons
reasonable: reasonable
reasoner: reasoners
reasoning: reasoning,reasonings
rebellion: rebellion,rebellions
rebellious: rebellious
rebuild: rebuild
recapitulate: recapitulate
receipt: receipt
receive: receive,received,receives,receiving
reception: reception
reckon: reckoned,reckoning
reckoning: reckonings
recline: reclined
recluse: recluse
recollect: recollected
recollection: recollections
recommend: recommend,recommended,recommends
recommendation: recommendation
recompense: recompensed
reconcile: reconcile,reconciled
reconcilement: reconcilement
record: record,recorded
recount: recounting
recover: recover,recovered,recovering
recovery: recovery
recruit: recruits
red: red
redistribute: redistribute,redistributing
redistributing: redistributing
redistribution: redistribution
redound: redound
redress: redress
reduce: reduce,reduced,reducing
redundant: redundant
reed: reed
reef: reefed
reek: reeking
reel: reel
refer: refer,referred
reference: references
refine: refine
refined: refined
refinement: refinement
reflect: reflect,reflected,reflecting
reflection: reflection,reflections
reflector: reflectors
reform: reforming
reformation: reformations
refresh: refresh,refreshed
refreshment: refreshment
refuge: refuge
refund: refund,refunding
refusal: refusal
refuse: refuse,refused
regard: regard,regarded
regarded: regarded
regimen: regimen
regiment: regiment
region: region,regions
register: register,registered
regret: regret,regretting
regular: regular
regularity: regularity
regularly: regularly
regulate: regulating
regulation: regulation
reign: reign,reigned,reigning,reigns
reject: reject,rejected,rejects
rejoice: rejoiced
relapse: relapsing
relate: relate,relates,relating
relation: relation,relations
relative: relative
relax: relaxed,relaxing
release: release
relief: relief
relieve: relieve,relieved
relieved: relieved
religion: religion
religious: religious
relish: relish
reluctance: reluctance
reluctancy: reluctancy
rely: rely
remain: remain,remained,remaining
remainder: remainder
remark: remark,remarked,remarks
remarkable: remarkable
remarker: remarkers
remedy: remedies,remedy
remember: remember,remembered,remembering
remembrance: remembrance
remote: remote,remotest
remove: remove,removed,removing
rename: renamed
render: render,rendered,rendering,renders
renew: renewed
renounce: renounce
renown: renown
renowned: renowned
repair: repair,repaired,repairing
repartee: repartees
repast: repast
repeal: repealed
repeat: repeat,repeated,repeating
repel: repelling
repent: repent
repetition: repetition,repetitions
repine: repine
repining: repining
replace: replace
replacement: replacement
replenish: replenish
repletion: repletion
reply: replied,reply
report: report,reported,reports
repose: reposed
repository: repository
represent: represent,represented
representation: representation,representations
representative: representative,representatives
reprimand: reprimanded
reproach: reproach
reprobate: reprobate
repulsive: repulsive
reputation: reputation
request: request,requested
require: require,required,requires,requiring
required: required
requirement: requirements
requisite: requisite
requite: requite
resemblance: resemblance
resemble: resemble,resembled,resembling
resent: resent,resented
resentment: resentment,resentments
reserve: reserve
reside: resided
residence: residence
resist: resist
resistance: resistance
resolutely: resolutely
resolution: resolution
resolve: resolve,resolved,resolving
resort: resort
respect: respect
respectful: respectful
respects: respects
rest: rest,rested
restiff: restiff
resting: resting
restive: restive
restless: restless
restore: restore,restored
restorer: restorers
restriction: restrictions
result: result
resume: resume,resumed
resurrection: resurrection
retain: retain,retained
retinue: retinue
retire: retire,retired,retires
retirement: retirement
retreat: retreat,retreated,retreats
return: return,returned,returning,returns
revenge: revenge
revengeful: revengeful
revenue: revenue
reverence: reverence
reverend: reverend
review: review
revise: revised
revive: revive,revived
revolution: revolution,revolutions
revolve: revolve,revolves
reward: reward,rewarded,rewards
rewarding: rewarding
rhomb: rhombs
rich: rich,richer,richest
richard: richard
riches: riches
rickety: rickety
rid: rid
ride: ride,riding,rode
rider: rider,riders
ridge: ridge,ridges
ridicule: ridicule,ridiculed
ridiculous: ridiculous
riding: riding
rigging: rigging
rightly: rightly
rigorous: rigorous
rim: rim
ringleader: ringleaders
rip: rip
rise: rise,risen,rising,rose
rising: risings
rival: rival
river: river,rivers
rivulet: rivulet,rivulets
road: road,roads
roar: roar,roared,roaring
roast: roast
roasted: roasted
rob: rob,robbing
robber: robbers
robbery: robbery
robert: robert
robinson: robinson
robust: robust
rock: rock,rocks
rocky: rocky
rod: rods
rogue: rogue,rogues
roguery: roguery
roll: rolled,rolling
roman: roman
romance: romance
rome: rome
roof: roof,roofs
root: root,rooted,roots
rope: rope,ropes
rotten: rotten
rottenness: rottenness
rough: rough
rouse: rouse,roused
row: row,rowed,rows
rowing: rowing
royal: royal
royalty: royalties,royalty
rub: rub,rubbed
rubbish: rubbish
rude: rude
rudiment: rudiments
rue: rue
ruin: ruin,ruined,ruins
ruinous: ruinous
rule: rule,rules,ruling
rummage: rummaging
rush: rush,rushing
rust: rust
rustic: rustic
sabbath: sabbath
sack: sacks
sackcloth: sackcloth
sacred: sacred
sacrifice: sacrificing
sad: sad
saddle: saddle
safe: safe,safer
safely: safely
safety: safety
sagacity: sagacity
sage: sages
sail: sail,sailed,sails
sailing: sailing
sailor: sailor,sailors
sake: sake
salad: salads
salary: salary
salisbury: salisbury
saliva: saliva
sallow: sallow
salt: salt,salts
salutation: salutation,salutations
sample: sample
san: san
sanctity: sanctity
sash: sash,sashes
satellite: satellites
satisfaction: satisfaction
satisfied: satisfied
satisfy: satisfied,satisfy
sauce: sauces
sausages: sausages
savage: savage,savages
save: save,saved,saving
scabbard: scabbard
scaffold: scaffold
scald: scalded
scale: scale
scandal: scandal
scandalous: scandalous
scanty: scanty
scarce: scarce
scarcely: scarcely
scared: scared
scene: scene,scenes
scent: scent
scheme: scheme,schemes
schism: schism,schisms
scholar: scholars
school: school,schools
schoolboy: schoolboys
science: science,sciences
scimitar: scimitar
score: score
scott: scott
scoundrel: scoundrels
scourge: scourge
scout: scouts
scrap: scraps
scrape: scraping
scratch: scratch
scratching: scratching
scream: scream,screamed
screw: screw,screwed
scribble: scribbles,scribbling
scribe: scribes
scrofulous: scrofulous
scruple: scruple,scruples
scrupulous: scrupulous
scrutoire: scrutoire
scud: scudded
scull: sculls
scum: scumming
scurvy: scurvy
scythe: scythe,scythes
sea: sea,seas
seal: seal,sealed
seaman: seamen
seamen: seamen
seaport: seaport
search: search,searched,searching
searcher: searchers
seas: seas
seaside: seaside
season: season
seasonable: seasonable
seat: seat,seated,seats
secluded: secluded
secret: secret,secrets
secretary: secretaries,secretary
sect: sect,sects
secure: secure,secured
security: security
sedan: sedan
seduce: seduce,seduced
seducement: seducement
seed: seeds
seek: seek,seeking,sought
seize: seize,seized,seizes,seizing
seizure: seizure
seldom: seldom
sell: sell,selling,sold
selling: selling
semicircle: semicircle
seminal: seminal
seminary: seminary
senate: senate,senates
senator: senator,senators
send: send,sending,sends
senior: seniors
sense: sense
sensibly: sensibly
sensitive: sensitive
sensuality: sensuality
sentence: sentence,sentences
sentiment: sentiments
sentry: sentry
separate: separated,separating
september: september
serene: serene
series: series
seriousness: seriousness
serpent: serpents
servant: servant,servants
serve: serve,served
service: service,services
serviceable: serviceable
servile: servile
servilely: servilely
servitude: servitude
set: set,sets,setting
setting: setting
settle: settle,settled,settling
settlement: settlements
seventh: seventh
severe: severe
severely: severely
severity: severities,severity
sew: sewn
sex: sex,sexes
sextant: sextants
sextumvirate: sextumvirate
shade: shade
shake: shake,shaken,shaking,shook
shallow: shallow,shallower
shame: shame
shape: shape,shaped,shapes
shapen: shapen
share: share,shared,sharing
sharp: sharp
sharpen: sharpened
sharper: sharpers
sharpness: sharpness
shave: shave,shaved
sheaf: sheaves
sheathe: sheathed
sheep: sheep
sheet: sheet,sheets
shelf: shelf
shellfish: shellfish
shelter: shelter
shift: shift,shifted
shilling: shilling,shillings
shin: shin
shine: shining,shone
ship: ship,ships
shipping: shipping
shipwreck: shipwreck,shipwrecked
shipwrecked: shipwrecked
shirt: shirt,shirts
shoal: shoals
shock: shock
shocking: shocking
shoe: shoe,shoes
shoot: shoot,shooting,shot
shop: shop,shops
shopkeeper: shopkeepers
shore: shore
short: short,shorter,shortest
shorten: shorten,shortened
shortening: shortening
shortness: shortness
shot: shots
shoulder: shoulder,shoulders
shout: shout,shouted,shouts
shouting: shouting
shove: shove,shoved
shower: shower
shriek: shriek
shrill: shrill,shriller
shropshire: shropshire
shudder: shuddering
shuffling: shuffling
shut: shut,shutting
shuttle: shuttle
shy: shy
sick: sick
sickness: sickness
sidle: sidling
siege: siege,sieges
sieve: sieve
sift: sifted
sigh: sigh
sight: sight
sighted: sighted
sign: sign,signed,signs
signal: signal
signet: signet
signification: signification
signify: signifies,signify,signifying
silence: silence
silent: silent
silk: silk,silks
silken: silken
silkworm: silkworms
silly: silly
silver: silver
similarity: similarity
simile: similes
simple: simple,simplest
simplicity: simplicity
sincerity: sincerity
sinew: sinews
singe: singed
single: single
singular: singular
singularity: singularity
sinister: sinister
sink: sink,sinking,sunk
sir: sir
sirloin: sirloin
sister: sister
sit: sat,sit,sitting
sitting: sitting
situate: situated
situation: situation
sixteen: sixteen
sixth: sixth
size: size
skeleton: skeleton
skilful: skilful
skilfully: skilfully
skill: skill
skilled: skilled
skin: skin,skins
skip: skip
skipper: skipper
skirmish: skirmishes
skirt: skirts
skull: skull,skulls
sky: sky
slacken: slacken,slackened
slash: slash
slave: slave,slaves
slavery: slavery
slavish: slavish
sledge: sledge
sleep: sleep,sleeping,slept
sleepy: sleepy
sleeve: sleeve,sleeves
slender: slender
slight: slight
slime: slime
sling: slung
slip: slip,slipped,slipping
slit: slits
sloe: sloe
sloop: sloop
slope: sloping
sloth: sloth
slow: slow
slowly: slowly
smart: smart
smattering: smattering
smell: smell,smelling,smelt
smile: smile,smiling
smite: smitten
smith: smith
smithfield: smithfield
smock: smocks
smoke: smoke
smooth: smooth,smoother,smoothest,smoothing
smoothness: smoothness
snail: snail,snails
snatch: snatch,snatched
sneeze: sneeze,sneezing
snout: snouts
snuff: snuff
sober: sober
society: society
socrates: socrates
sodomite: sodomites
sodomy: sodomy
soever: soever
soft: soft,softest
soften: softening
softly: softly
softness: softness
soil: soil
sojourn: sojourned
soldier: soldier,soldiers
sole: sole,soled
soled: soled
solemn: solemn
solemnly: solemnly
solicit: solicit,solicited
solicitation: solicitation,solicitations
solid: solid,solids
solitary: solitary
solitude: solitude
solution: solution
solve: solve,solved
son: son,sons
song: song
sooty: sooty
soporiferous: soporiferous
sorcerer: sorcerers
sordid: sordid
sore: sore
sorrel: sorrel
sorrow: sorrow,sorrows
sort: sort,sorts
soul: souls
sound: sound,sounded,sounder,sounding
soundly: soundly
sour: sour
south: south
southern: southern
southward: southward
sovereign: sovereign
sow: sow
sowing: sowing
space: space
spangle: spangle
spaniards: spaniards
spaniel: spaniel
spanish: spanish
spare: spare,spared
spark: spark
sparrow: sparrow,sparrows
spartan: spartan
spawn: spawn
speak: speak,speaking,speaks,spoke,spoken
speaker: speaker
speaking: speaking
spear: spears
special: special
species: species
specific: specific
spectacle: spectacle
spectacles: spectacles
spectator: spectator,spectators
spectre: spectres
speculation: speculation,speculations
speculative: speculative
speech: speech,speeches
speed: speed
speedy: speedier,speedy
spell: spelt
spend: spend,spent
spending: spending
sphere: spheres
spider: spider,spiders
spin: spin
spinet: spinet
spire: spire,spires
spirit: spirit,spirits
spiritual: spiritual
spit: spit,spits
spite: spite
spleen: spleen
splendid: splendid
splinter: splinters
split: split
spoil: spoiled,spoiling,spoils
spoiled: spoiled
spoon: spoons
spoonful: spoonful
spooning: spooning
sport: sports
spot: spot,spots
spout: spouted
spread: spread
spring: sprang,spring,springs
springe: springes
sprit: sprit
spruce: spruce
sprug: sprugs
spur: spur
spurn: spurn
spy: spied
squall: squall
squalling: squalling
square: square,squares
squash: squash
squashed: squashed
squeeze: squeeze,squeezed,squeezes,squeezing
squirrel: squirrel
stable: stable,stables
staff: staff
stag: stag
stage: stage
staid: staid
stair: stairs
stake: stakes
stale: stale
stalk: stalks
stamp: stamp,stamping
stand: stand,standing,stands,stood
standard: standard
standing: standing
stang: stang
staple: staples
star: star,stars
starboard: starboard
stare: stare,stared
stark: stark
start: start,started,starting
startle: startled
starve: starve,starved,starving
statement: statements
statesman: statesmen
station: station
statue: statues
stature: stature
status: status
statute: statute
staunch: staunch
stay: stay,stayed
steal: steal,stealing,steals,stole
stealth: stealth
steed: steed
steel: steel
steep: steep
steeple: steeple
steer: steer,steered
steering: steering
stem: stem
stench: stench
step: step,stepped,stepping,steps
stept: stept
steward: steward
stick: stick,sticking,sticks,stuck
stiff: stiff
stifle: stifle,stifled
stile: stile
sting: stings,stung
stink: stink
stipulate: stipulates
stir: stir,stirring
stitch: stitched
stock: stock,stocking
stocking: stockings
stomach: stomach
stomacher: stomacher
stone: stone,stones
stony: stony
stool: stool,stools
stoop: stoop,stooped
store: store,stored,stores
storm: storm,storms
story: stories,story
stout: stout
stow: stowed
straggler: stragglers
straight: straight
strain: strain,strained
strained: strained
strait: strait,straits
straits: straits
strand: strand
strange: strange
strangely: strangely
stranger: stranger,strangers
stratagem: stratagem
straw: straw
stray: stray
stream: stream
street: street,streets
strength: strength
strengthen: strengthening
strew: strew,strewed,strewing
strict: strict,strictest
strictly: strictly
strictness: strictness
stride: stride,strides
strike: strike,strikes,striking,struck
string: string,strings,strung
strip: strip,stripped,stripping
strive: strive,striving,strove
stroke: stroke,stroked,strokes,stroking
stroll: strolling
strong: strong,stronger,strongest
structure: structure
struggle: struggle,struggling
struldbrug: struldbrug
strut: strutting
stubborn: stubborn
student: student,students
studious: studious
studiously: studiously
study: studied,studies,study
stuff: stuff
stumble: stumble
stump: stumps
stumps: stumps
stun: stunned
stunned: stunned
stupid: stupid
style: style
subaltern: subaltern
subdivision: subdivisions
subdue: subdue
subject: subject,subjects
sublime: sublime
sublunary: sublunary
submissive: submissive
submit: submit,submits,submitted
subornation: subornation
suborner: suborner
suborning: suborning
subscribe: subscribe,subscribed
subservience: subservience
subservient: subservient
subsidy: subsidies
substance: substance,substances
substantial: substantial
succeed: succeed,succeeding,succeeds
success: success
successful: successful
succession: succession,successions
successively: successively
successor: successor,successors
suck: suck
suckle: suckle
sudden: sudden
suddenly: suddenly
suds: suds
sue: sue
suffer: suffer,suffered,suffering
sufferer: sufferer
suffering: sufferings
suffice: suffice
sufficient: sufficient
sugar: sugar
suit: suit,suited,suits
suitable: suitable
sullen: sullen
