abandon: abandoned,abandons
nod: nod,nodded,nodding
noise: noise
noised: noised
noiseless: noiseless
noiselessly: noiselessly
nominal: nominal
nonconformist: nonconformist
nonentity: nonentity
nonproprietary: nonproprietary
nonsense: nonsense
noose: noose
normal: normal
north: north
nose: nose
nosed: nosed
nostril: nostrils
notable: notable
notably: notably
note: note,notes,noting
notepaper: notepaper
notice: notice,noticed,notices
notify: notifies
notion: notion
notorious: notorious
nous: nous
nova: nova
november: november
nucleus: nucleus
numerous: numerous
nurse: nurse
nursery: nursery
nurture: nurtured
nut: nut
nutshell: nutshell
oak: oak
oath: oath,oaths
obedience: obedience
obese: obese
obey: obey,obeyed
object: object
objection: objection,objections
obligation: obligations
oblige: obliged,obliging
observant: observant
observation: observation
observe: observe,observed,observing
observer: observer
obsolete: obsolete
obstacle: obstacle
obstinacy: obstinacy
obstinate: obstinate
obtrude: obtruded
obvious: obvious
occasion: occasion
occasional: occasional
occasionally: occasionally
occipital: occipital
occupant: occupant
occupation: occupation,occupations
occupy: occupied,occupy
occur: occur,occurred
occurrence: occurrence,occurrences
octavo: octavo
october: october
odd: odd
odessa: odessa
odour: odour
offence: offence
offended: offended
offensive: offensive
offer: offer,offered,offers
offering: offering
offhand: offhand
office: office,offices
officer: officers
official: official,officials
oil: oil
oily: oily
ominous: ominous
online: online
opal: opal
openly: openly
openness: openness
opera: opera
operatic: operatic
operation: operations
opinion: opinion
opium: opium
opponent: opponent
opportunity: opportunities,opportunity
oppose: opposed,opposing
opposition: opposition
oppress: oppressed
oppressively: oppressively
opulence: opulence
orange: orange
ordinary: ordinary
ordnance: ordnance
organisation: organisation
organize: organized
orgy: orgies
origin: origin
original: original
originality: originality
originator: originator
ornament: ornament,ornaments
orphan: orphan
orphanage: orphanage
oscillate: oscillated,oscillates
oscillation: oscillation
ostensibly: ostensibly
ostler: ostlers
ostrich: ostrich
ounce: ounce
outbreak: outbreak,outbreaks
outburst: outbursts
outcry: outcry
outdated: outdated
outdoor: outdoor
outer: outer
outhouse: outhouse
outline: outline,outlined
outrage: outrages
outset: outset
outskirts: outskirts
outstanding: outstanding
outstretched: outstretched
outward: outward
outweigh: outweigh
overcoat: overcoat
overcome: overcome
overdo: overdid
overhaul: overhauled
overhead: overhead
overhear: overhear,overhearing
overjoy: overjoyed
overlook: overlook
overpowering: overpowering
oversee: overseen
oversight: oversight
overstrung: overstrung
overtake: overtaken,overtook
overtop: overtopped
overwhelm: overwhelmed
owe: owe,owed
owner: owner
oxford: oxford
pace: paced,paces
pacific: pacific
pacing: pacing
pack: pack,packed
packet: packet
padlock: padlocked
pain: pain,pains
pained: pained
painful: painful
painfully: painfully
paint: paint,painted
pair: pair
pal: pal,pals
pale: pale
paleness: paleness
pall: pall
pallet: pallet
pallor: pallor
palm: palm
palmer: palmer
palpitate: palpitating
panel: panel,panelled
panelling: panelling
panoply: panoply
pant: panted
paper: paper,papers
paperwork: paperwork
papier: papier
paradoxical: paradoxical
paragraph: paragraph,paragraphs
parallel: parallel
paramount: paramount
parapet: parapet
parcel: parcel
parched: parched
pardon: pardon
parent: parents
parietal: parietal
paris: paris
parish: parish
park: park
parlance: parlance
parley: parley
parr: parr
parsonage: parsonage
partially: partially
particulars: particulars
partie: partie
partly: partly
partner: partner
party: parties,party
pass: pass,passed,passing
passage: passage,passages
passenger: passenger,passengers
passer: passers
passion: passion,passions
passionate: passionate
passionately: passionately
pasty: pasty
pat: patted,patting
patch: patch,patches
patent: patent
patentee: patentee
paternal: paternal
path: path
pathway: pathway
patience: patience
patient: patient,patients
patron: patron
patter: pattered
paul: paul
pauper: pauper
pause: pause,paused,pausing
pavement: pavement
pawnbroker: pawnbroker
pay: paid,pay,paying,pays
payment: payment,payments
pea: pea
peace: peace
peaceful: peaceful
peaked: peaked
pearl: pearl
peasant: peasant
peculiar: peculiar
peculiarity: peculiarities
peculiarly: peculiarly
pedestrian: pedestrians
peel: peeled,peeling
peep: peep,peeped,peeping
peeped: peeped
peer: peering
peeress: peeress
pen: pen,pens
penal: penal
pence: pence
pencil: pencil,pencils
pend: pending
penetrate: penetrating
pennsylvania: pennsylvania
penny: pennies,penny
pensioner: pensioners
perceive: perceive,perceived
perch: perch,perched
percy: percy
perfect: perfect
perfection: perfection
perfectly: perfectly
perform: perform,performed,performing
performance: performance,performances
performer: performer
peril: perils
periodic: periodic
permanent: permanent
permission: permission
permit: permit,permitted
perpetrate: perpetrated
perpetrator: perpetrators
perpetual: perpetual
perplexed: perplexed
perplexing: perplexing
perplexity: perplexity
persecution: persecution
persevere: persevering
persian: persian
persistence: persistence
persistently: persistently
person: people,person,persons
personal: personal
personality: personality
personally: personally
personate: personate
perspire: perspired
persuade: persuade,persuaded
persuasion: persuasions
perturb: perturbed
pester: pestered,pestering
pet: pet,pets
peter: peter,petered
petrified: petrified
petty: petty
petulance: petulance
pew: pew
pheasant: pheasant
philadelphia: philadelphia
philanthropist: philanthropist
philosophy: philosophy
photograph: photograph
photography: photography
phrase: phrase
physical: physical
pick: pick,picked,picking
picture: picture,pictured,pictures
pie: pie
piece: piece,pieces
pierce: pierce,pierced
pierced: pierced
pigment: pigments
pikestaff: pikestaff
pile: pile,piled,piling
pillow: pillow,pillows
pilot: pilot
pin: pin
pinch: pinch,pinched
pink: pink
pinnacle: pinnacles
pip: pips
pipe: pipe,pipes
piping: piping
pips: pips
piquant: piquant
pirate: pirates
pistol: pistol
piston: piston
pit: pit,pits
pitch: pitch
piteous: piteous
pitiable: pitiable
pitiful: pitiful
pittance: pittance
pity: pity
plaid: plaid
plain: plain,plainer
plainly: plainly
plan: plan,planned,planning,plans
planet: planet
plank: planked,planks
planking: planking
planning: plannings
plant: planted
plantagenet: plantagenet
plantation: plantation
planter: planter
plaster: plaster
plate: plate
platform: platform
platitude: platitudes
plausible: plausible
play: play,played,playing,plays
player: player
plead: pleading
pleasant: pleasant
pleased: pleased
pleasure: pleasure
pledge: pledge,pledged
plentiful: plentiful
plenty: plenty
plot: plot
plough: ploughed
plover: plover
pluck: pluck,plucked
plucking: plucking
plug: plugs
plumber: plumber
plump: plumped
plunge: plunge,plunged,plunging
plush: plush
ply: plied
pocket: pocket,pockets
poetic: poetic
poetry: poetry
poison: poison
poisoner: poisoner
poisoning: poisoning
poker: poker,pokers
poky: poky
police: police
policeman: policeman
policy: policy
political: political
politician: politicians
politics: politics
pomposity: pomposity
pompous: pompous
pon: pon
ponder: pondered
ponderous: ponderous
pooh: pooh
pool: pool
poor: poor,poorer
pope: pope
popular: popular
populous: populous
porch: porch
port: port
porter: porter
portion: portion
portly: portly
pose: poses
position: position,positions
positive: positive
positively: positively
possess: possess,possessed
possession: possession,possessions
possibility: possibility
post: post,posted
posterior: posterior
postmark: postmark,postmarks
postpone: postpone
poultry: poultry
pound: pound,pounds
pour: poured,pouring
power: power,powers
powerful: powerful
practical: practical
practically: practically
practice: practice
prague: prague
prank: prank
pray: pray
preach: preach
precaution: precaution,precautions
precede: preceded,preceding
precious: precious
precise: precise
precisely: precisely
precursor: precursor
prediction: prediction
predominate: predominated,predominates
prefer: prefer,prefers
preference: preference
prejudice: prejudice
preliminary: preliminary
premature: premature
premise: premises
preoccupy: preoccupied
preparation: preparations
prepare: prepare,prepared,preparing
prepared: prepared
preposterous: preposterous
presence: presence
presently: presently
preserve: preserve,preserved,preserves,preserving
preserver: preserver
press: press,pressed,presses,pressing
pressing: pressing
pressure: pressure
presume: presume,presuming
presumption: presumption
pretence: pretence
pretend: pretended,pretends
pretext: pretext
pretty: pretty
prevent: prevent,preventing
previous: previous
prey: prey
price: price,prices
prick: prick
pride: pride
prima: prima
prime: prime
prince: prince
princess: princess
principal: principal
principally: principally
principle: principle,principles
print: print,printed,prints
prior: prior
prison: prison
prisoner: prisoner
privacy: privacy
private: private
prize: prize,prizes
pro: pro
probability: probability
probable: probable
probe: probed,probing
proceed: proceed,proceeded
proceedings: proceedings
process: process,processes
processing: processing
proclaim: proclaimed
prodigiously: prodigiously
produce: produce,produced,producing
product: product
production: production
profession: profession
professional: professional
professionally: professionally
professor: professor
proficient: proficient
profit: profited,profits
profound: profound
profoundly: profoundly
programme: programme
progress: progress
prohibition: prohibition
project: project,projecting
prolong: prolong
prolonged: prolonged
prominence: prominence
prominently: prominently
promise: promise,promised,promises,promising
promote: promoting
promotion: promotion
prompt: prompt,prompted
pronounce: pronounce
proof: proof,proofs
proofread: proofread
propagation: propagation
proper: proper
property: property
proportion: proportion
proposal: proposal
propose: propose,proposed
proposition: proposition
propound: propound
proprietary: proprietary
proprietor: proprietor
propriety: propriety
prosecute: prosecuted
prosecution: prosecution
prospect: prospect,prospecting
prosper: prosper
prosperity: prosperity
prosperous: prosperous
protect: protect,protected
protection: protection
protest: protested,protesting
protestation: protestation
protrude: protruded,protruding
prove: prove,proved,proves,proving
provide: provide,providing
province: province,provinces
provincial: provincial
provision: provision,provisions
provoke: provoked
prussian: prussian
pry: prying
pshaw: pshaw
public: public
publicity: publicity
publicly: publicly
puckered: puckered
puff: puffed,puffing
puffing: puffing
pull: pull,pulled,pulling
pulp: pulp
puncture: punctures
pungent: pungent
punish: punish
punishment: punishment
punitive: punitive
puny: puny
pupil: pupils
purchase: purchase,purchasing
pure: pure,purest
purely: purely
purity: purity
purple: purple
purport: purport
purpose: purpose,purposes
purse: purse,purses
pursue: pursue,pursued
pursuer: pursuers
purveyor: purveyor
push: push,pushed,pushing
putty: putty
puzzle: puzzle,puzzled
puzzled: puzzled
puzzling: puzzling
qualification: qualifications
quality: qualities,quality
quarrel: quarrel,quarrelling,quarrels
quarter: quarter,quarters
quartering: quartering
quaver: quavering
queen: queen
queer: queer
quench: quench
quest: quest
question: question,questioning,questions
questionable: questionable
questioning: questioning
quick: quick,quicker
quiet: quiet
quietly: quietly
quill: quill
quinsy: quinsy
quit: quitted
quiver: quivered,quivering
quote: quote,quotes
rabbi: rabbi
rabbit: rabbit,rabbits
race: race
rack: rack
radiance: radiance
radius: radius
rage: rage
ragged: ragged
rail: railed,rails
railing: railings
railway: railway
rain: rain
raise: raise,raised,raising
rake: rake
rambling: rambling,ramblings
random: random
rank: rank
ransack: ransacked
rapid: rapid
rapidity: rapidity
rapidly: rapidly
rapt: rapt
rare: rare
rascally: rascally
rasher: rashers
rashness: rashness
rat: rat
rate: rate
rattle: rattle,rattled,rattling
rattling: rattling
rave: raved
ray: ray
reabsorb: reabsorbed
reach: reach,reached,reaches,reaching
reaction: reaction
read: read,reading
readable: readable
reader: readers
reading: reading
ready: ready
real: real
realise: realise,realised,realising
realism: realism
realistic: realistic
reap: reaped
rear: reared
rearing: rearing
rearrange: rearranging
reason: reason,reasoned,reasons
reasonable: reasonable
reasoner: reasoner
reasoning: reasoning
recall: recall,recalled
recede: receded
receipt: receipt,receipts
receive: receive,received,receiving
receiver: receiver
reception: reception
recess: recess,recesses
reckless: reckless
reclaim: reclaim
recognise: recognise,recognised,recognising
recoil: recoil,recoiled
recollect: recollect
recommence: recommence
recommend: recommend,recommended
recompense: recompense
reconsider: reconsider,reconsidered
reconstruction: reconstruction
record: record,recorded,records
recourse: recourse
recover: recover,recovered,recovering
rectify: rectify
red: red,redder
redistribute: redistribute,redistributing
redistributing: redistributing
redistribution: redistribution
reduce: reduced
reed: reed,reeds
refer: refer,referred,refers
reference: reference,references
refined: refined
refinement: refinement
refrain: refrain
refresh: refreshed
refreshingly: refreshingly
refund: refund
refusal: refusal
refuse: refuse,refused
regain: regain,regained
regard: regard
regency: regency
regent: regent
region: region
register: register,registered,registers
registry: registry
regret: regret,regretted
regular: regular
regulate: regulating
regulation: regulations
regurgitation: regurgitation
reign: reigning
reject: rejected
rejoice: rejoiced
rejoin: rejoin
relapse: relapsed,relapsing
relate: relate
relation: relation,relations
relative: relative,relatives
relax: relaxed
release: release,released
relentless: relentless
relevant: relevant
reliability: reliability
reliance: reliance
relic: relic,relics
relief: relief
relieve: relieve
relish: relish
rely: rely
remain: remain,remained,remaining,remains
remainder: remainder
remand: remanded
remark: remark,remarked,remarking,remarks
remarkable: remarkable
remarkably: remarkably
remedy: remedied,remedies
remember: remember,remembered
remembrance: remembrance
remonstrance: remonstrance
remorseless: remorseless
remove: remove,removed,removing
remunerative: remunerative
rename: renamed
rend: rending
renew: renew,renewed
rent: rent
reopen: reopened,reopening
repair: repair,repairs
reparation: reparation
repartee: repartee
repay: repaid,repay
repeat: repeat,repeated
repeatedly: repeatedly
repel: repelled
repent: repented
replace: replace,replaced
replacement: replacement
reply: replied,reply
report: report,reported,reporting,reports
reporter: reporter
represent: represent,represented,represents
representation: representations
representative: representative
reproach: reproach
reproachfully: reproachfully
reptile: reptile
republican: republican
repugnant: repugnant
repulsion: repulsion
repulsive: repulsive
reputation: reputation
repute: repute
request: request,requested,requests
require: require,required
requirement: requirement,requirements
rescue: rescue
resemblance: resemblance
resemble: resembling
resentment: resentment
reserve: reserve
reside: resided,residing
residence: residence
resist: resist
resistance: resistance
resistless: resistless
resolute: resolute
resolution: resolution,resolutions
resolve: resolve,resolved
resort: resort
resound: resounded
resource: resource,resources
respect: respect
respectable: respectable
respects: respects
respond: respond,responded
response: responses
responsibility: responsibility
responsible: responsible
rest: rest,rested,resting,rests
restaurant: restaurant
restive: restive
restless: restless
restore: restore,restored
restrain: restrain
restraint: restraint
restriction: restrictions
result: result
retain: retain,retained
retire: retire,retired,retiring
retired: retired
retort: retort,retorted
retreat: retreat
retrogression: retrogression
return: return,returned,returning,returns
reveal: reveal,revealed,revealing
reveller: revellers
revenge: revenge
revenue: revenue
reverie: reverie
reverse: reverse
revolve: revolved
revolver: revolver
reward: reward
rib: ribbed
rich: rich,richer,richest
richness: richness
rickety: rickety
rid: rid
ridiculously: ridiculously
rifle: rifle,rifled
rifled: rifled
rift: rift,rifts
rightly: rightly
rigid: rigid
rise: rise,risen,rising,rose
riser: riser,risers
risk: risk,risks
rival: rival
river: river
riverside: riverside
rivet: riveted
road: road,roads
roadway: roadway
roar: roar,roared
roast: roasting
robber: robber
robbery: robberies,robbery
robert: robert
robinson: robinson
rock: rocked
rocket: rocket
rockies: rockies
rod: rod
rogue: rogue
role: role
roll: roll,rolled
rolling: rolling
romper: romper
roof: roof,roofed,roofs
root: roots
rope: rope,ropes
rose: rose
ross: ross
rotterdam: rotterdam
rough: rough,roughs
roughly: roughly
rounded: rounded
rouse: rouse,roused
routine: routine
row: row
royal: royal
royalty: royalties,royalty
rub: rubbed,rubbing
rubber: rubber
ruby: ruby
ruddy: ruddy
rude: rude
rueful: rueful
ruefully: ruefully
ruffian: ruffian,ruffians
rug: rug
ruin: ruin,ruined
rule: rule,rules
rumble: rumble
rummage: rummaged
rumour: rumour,rumours
rural: rural
ruse: ruse
rush: rush,rushed,rushes,rushing
russell: russell
russian: russian
rustic: rustic
rusty: rusty
ruthless: ruthless
ryder: ryder
sable: sable
sacrifice: sacrifice,sacrificed,sacrificing
sad: sad,saddest
saddle: saddles
sadly: sadly
safe: safe,safer,safes
safeguard: safeguard
safely: safely
safety: safety
sail: sailed
sailing: sailing
sailor: sailor
sake: sake
salary: salary
salesman: salesman
sallow: sallow
sally: sallies,sally
salt: salt
salute: saluted
sample: sample
san: san
sand: sand
sandwich: sandwich,sandwiched
sardonic: sardonic
satin: satin
satisfaction: satisfaction
satisfactory: satisfactory
satisfied: satisfied
satisfy: satisfied,satisfy,satisfying
saturate: saturated
saturday: saturday
saucer: saucer
savage: savage
savagely: savagely
savannah: savannah
save: save,saved,saving
saviour: saviour
saxe: saxe
saxon: saxon
scaffolding: scaffolding
scala: scala
scale: scale,scales
scandal: scandal,scandals
scandinavia: scandinavia
scar: scar
scared: scared
scarlet: scarlet
scatter: scattered
scattered: scattered
scene: scene,scenes
scenery: scenery
scent: scent
sceptic: sceptic
schemer: schemer
scheming: scheming
school: school,schools
schoolmaster: schoolmaster
science: science
scintillate: scintillating
scissors: scissors
score: scored,scores
scorn: scorn
scotch: scotch
scotia: scotia
scotland: scotland
scott: scott
scoundrel: scoundrel
scrape: scraped,scraping
scratch: scratch,scratching
scrawl: scrawl,scrawled
scream: scream,screamed,screaming,screams
screen: screen,screening
scribble: scribble,scribbled
scruple: scruples
scrupulous: scrupulous
scuffle: scuffle
scummed: scummed
sea: sea
seal: seal,sealed
seam: seamed
seaman: seaman
seaport: seaports
sear: seared
search: search,searched,searching
season: season
seasonable: seasonable
seat: seat,seated,seats
secluded: secluded
secrecy: secrecy
secret: secret,secrets
secretary: secretary
secrete: secreted,secreting
secretive: secretive
secretly: secretly
secure: secure,secured,securing
securer: securer
security: security
sedentary: sedentary
seed: seeds
seedy: seedy
seek: seek,seeking,sought
seize: seize,seized
seldom: seldom
select: select
selection: selection,selections
selfish: selfish
selfishness: selfishness
sell: sell,sold
seller: seller
semicircle: semicircle
send: send,sending,sends
sender: senders
senility: senility
senior: senior
sensation: sensation,sensations
sensational: sensational
sensationalism: sensationalism
sense: sense
senseless: senseless
sensitive: sensitive
sentence: sentence
sentimental: sentimental
sentinel: sentinel
separate: separate,separated
separation: separation
september: september
sequel: sequel
sequence: sequence
serenely: serenely
series: series
serpent: serpent
serpentine: serpentine
servant: servant,servants
serve: serve,served,serves,serving
service: service,services
serving: serving
servitude: servitude
set: set
settee: settee
setter: setter
setting: setting
settle: settle,settled,settles,settling
settled: settled
seventeen: seventeen
sever: severed
severe: severe
severely: severely
sew: sewn
sewing: sewing
sex: sex
sha: sha
shabbily: shabbily
shabby: shabby
shade: shade,shading
shades: shades
shadow: shadow,shadows
shag: shag
shake: shake,shaken,shaking,shook
shamefaced: shamefaced
shamefully: shamefully
shape: shape,shaped
shapeless: shapeless
share: share,shared,sharing
sharp: sharp
sharpen: sharpened
sharply: sharply
shatter: shattered
shattered: shattered
shave: shave
shaven: shaven
shaving: shaving
shawl: shawl
sheep: sheep
sheer: sheer
sheet: sheet,sheets
shelf: shelf,shelves
shelter: shelter
shepherd: shepherd
sherlock: sherlock
sherry: sherry
shift: shift
shilling: shilling,shillings
shimmering: shimmering
shine: shining,shone
shiny: shiny
ship: ship,ships
shipping: shipping
shipwreck: shipwreck
shirt: shirt
shiver: shiver,shivering
shock: shock,shocked
shocked: shocked
shoe: shoe,shoes
shoot: shooting,shoots,shot
shooting: shooting
shop: shop,shops
shopping: shopping
short: short,shorter
shortcoming: shortcomings
shortly: shortly
shot: shot,shots
shoulder: shoulder,shoulders
shout: shouted,shouting,shouts
shouting: shouting
shove: shoves,shoving
shriek: shriek,shrieked
shrilly: shrilly
shrimp: shrimp
shrink: shrunk
shrug: shrug,shrugged
shudder: shudder,shuddered
shuffle: shuffled
shut: shut,shutting
shutter: shutter,shuttered,shutters
shy: shy
sick: sick
sickness: sickness
sideboard: sideboard
sided: sided
sidelight: sidelights
sidelong: sidelong
sideways: sideways
sidle: sidled
sigh: sigh,sighing
sight: sight
sign: sign,signed,signs
signal: signal,signalled
signature: signature
signet: signet
silence: silence
silent: silent
silently: silently
silhouette: silhouette
silk: silk
sill: sill
silly: silly
silver: silver,silvered
simon: simon
simple: simple,simpler,simplest
simplicity: simplicity
simplify: simplifies,simplify
simply: simply
sin: sin,sinned,sins
sinewy: sinewy
sing: sings
single: single
singular: singular
singularity: singularity
singularly: singularly
sinister: sinister
sink: sank,sink,sinking,sunk
sinking: sinking
sir: sir
sister: sister
sit: sat,sit,sits,sitting
sitting: sitting
situate: situated
situation: situation
sixteen: sixteen
size: size
sized: sized
sketch: sketch,sketched
skill: skill
skin: skin
skinned: skinned
skirmish: skirmishes
skirt: skirt,skirts
skull: skull
sky: sky
skylight: skylight
slab: slab,slabs
slam: slam,slammed
slang: slang
slap: slapped
slash: slashed
slate: slate
slave: slave
slavey: slavey
sleep: sleep,sleeping,sleeps,slept
sleeper: sleeper,sleepers
sleepily: sleepily
sleepless: sleepless
sleepy: sleepy
sleeve: sleeve,sleeves
sleuth: sleuth
slice: slice
slide: slide,sliding
slight: slight,slighted,slighter
slim: slim
sling: slung
slink: slink
slip: slip,slipped,slipping
slipper: slipper,slippers
slippery: slippery
slit: slit,slits,slitting
slop: slop
slope: slope,slopes,sloping
slovenly: slovenly
slow: slow
slowly: slowly
sluggishly: sluggishly
slum: slums
slumber: slumber
slur: slurred
slurring: slurring
slut: slut
sly: sly
smack: smack
smart: smart,smarter,smartest,smarting
smash: smashed
smasher: smasher
smear: smear,smearing
smell: smell,smelling
smile: smile,smiled,smiles,smiling
smoke: smoke,smoked,smokes,smoking
smokeless: smokeless
smoking: smoking
smooth: smooth,smoothed,smoothing
smoothness: smoothness
smudge: smudge
snake: snake
snakish: snakish
snap: snap,snapped,snapping
snarl: snarl,snarled
snatch: snatched,snatches
sneer: sneer
snigger: snigger
snore: snoring
snow: snow
snuff: snuff
snuffbox: snuffbox
snug: snug
soak: soaked
sob: sob,sobbed,sobbing
sober: sober,sobered
social: social
society: society
sock: socks
socket: socket
soda: soda
sodden: sodden
sofa: sofa
soft: soft,softer
soften: softened
softly: softly
solder: solder
soldier: soldier,soldiers
sole: sole,soles
soled: soled
solely: solely
solemn: solemn
solemnly: solemnly
solicit: solicit
solicitation: solicitation
solicitor: solicitor
solid: solid
solitude: solitude
solution: solution
solve: solve,solved
sombre: sombre
son: son,sons
song: songs
soothe: soothed,soothing
soothing: soothing
soothingly: soothingly
sophy: sophy
sore: sore
sorely: sorely
sorrow: sorrow
sort: sort
sot: sots
sottish: sottish
soul: soul,souls
sound: sound,sounded,sounding,sounds
sour: sour
source: source
south: south
southern: southern
souvenir: souvenir
sovereign: sovereign,sovereigns
space: space
span: span
spare: spare,spared
spark: spark
sparkle: sparkled,sparkles
spatter: spattered
speak: speak,speaking,speaks,spoke,spoken
special: special
specialist: specialist
specimen: specimen
speciously: speciously
speckle: speckles
speckled: speckled
spectacle: spectacle
spectacles: spectacles
spectator: spectators
speech: speech
speed: speed,speeding
speedily: speedily
speedy: speedy
spell: spell
spellbound: spellbound
spence: spence
spend: spend,spent
spin: spinning,spun
spine: spine
spinster: spinster
spirit: spirit,spirits
spite: spite
splash: splash,splashed,splashing
splendid: splendid
splendidly: splendidly
splendour: splendour
spoil: spoiled,spoils
spoiled: spoiled
sponge: sponge,sponged
spongy: spongy
sporadic: sporadic
sport: sport
spot: spot,spots,spotted
spotted: spotted
spout: spouting
spread: spread,spreading
sprig: sprig
spring: sprang,spring,springing,springs,sprung
spy: spies
squalid: squalid
squander: squander
square: square
squat: squat,squatted
squeeze: squeezed
squire: squire
stab: stabbed
stable: stable,stables
staccato: staccato
staff: staff
stage: stage,stages
stagger: stagger,staggered,staggering
stagnant: stagnant
stain: stain,stained,staining,stains
stair: stair,stairs
staircase: staircases
stake: stake
stale: stale
stalk: stalked
stall: stall,stalls
stammer: stammered
stamp: stamp,stamped,stamping
stand: stand,standing,stands,stood
standard: standard
standpoint: standpoint
staple: staples
star: star,stars
stare: stare,stared,stares,staring
stark: stark
stars: stars
start: start,started,starting
startle: startled
startled: startled
startling: startling
starve: starving
stately: stately
statement: statement,statements
station: station
status: status
stay: stay,staying
steadily: steadily
steading: steadings
steady: steady
steal: steal,stole,stolen
stealthily: stealthily
steam: steam,steamed,steaming
steamboat: steamboats
steamer: steamer
steel: steel
steely: steely
steep: steep
step: step,stepped,stepping,steps
stepdaughter: stepdaughter
stepfather: stepfather
stepmother: stepmother
stern: stern,sterner
sternly: sternly
stethoscope: stethoscope
stevedore: stevedore
stick: stick,sticking,sticks,stuck
stiff: stiff
stiffness: stiffness
stile: stile
stillness: stillness
stimulant: stimulant
stir: stirred,stirring
stock: stock,stocked
stoke: stoke
stolen: stolen
stone: stone,stones
stoner: stoner
stool: stool
stoop: stoop,stooped,stooping
stoper: stoper
store: stored
storied: storied
storm: storm
stormy: stormy
story: stories,story
stout: stout
stoutly: stoutly
straggling: straggling
straight: straight
straighten: straighten,straightened
strain: strain,straining
strand: strand
strange: strange,stranger,strangest
stranger: stranger,strangers
straw: straw
stray: strayed
streak: streaked
stream: stream,streamed
streaming: streaming
street: street,streets
strength: strength
strengthen: strengthen
strenuously: strenuously
stress: stress
stretch: stretch,stretched,stretching
stricken: stricken
strict: strict
stride: stride,striding,strode
strike: strike,strikes,striking,struck
striking: striking
strip: strip,stripped
stripes: stripes
strive: striving
stroke: stroke
stroll: stroll,strolled
strong: strong,stronger,strongest
stroud: stroud
struggle: struggle,struggled,struggling
study: studied,studies,study,studying
stuff: stuff,stuffed,stuffs
stumble: stumbled
stump: stump
stupefy: stupefying
stupid: stupid
stupidity: stupidity
sturdy: sturdy
style: style
suavely: suavely
subdue: subdued,subduing
subdued: subdued
subject: subject,subjected
submit: submit,submitted
subscribe: subscribe
subside: subsided
substitution: substitution
subtle: subtle
suburb: suburb
suburban: suburban
succeed: succeed,succeeded
success: success,successes
successful: successful
succession: succession
successive: successive
successor: successors
succinct: succinct
suck: sucked
sudden: sudden
suddenly: suddenly
suffer: suffer,suffered,suffering
sufferer: sufferer
suffice: sufficed
sufficient: sufficient
suggestive: suggestive
suggestiveness: suggestiveness
suicide: suicide
suit: suit,suited,suits
suite: suite
suited: suited
suitor: suitor
sulk: sulking
sullenly: sullenly
sum: sum,sums
summarily: summarily
summarise: summarise
summer: summer
summon: summoned
summons: summons,summonses
sun: sun
sunbeam: sunbeam
sunburnt: sunburnt
sunday: sunday
sundial: sundial,sundials
sunlight: sunlight
sunset: sunset
sunshine: sunshine
superb: superb
superior: superior
superscribe: superscribed
superscription: superscription
supper: supper
supplement: supplementing
supplier: supplier,suppliers
supply: supplied,supply
support: support,supporting
supporter: supporters
suppose: suppose,supposed,supposing
supposition: supposition
suppress: suppressing
surely: surely
surface: surface
surgeon: surgeon
surly: surly
surmise: surmise
surpliced: surpliced
surprise: surprise,surprised
surprised: surprised
surrey: surrey
surround: surrounded,surrounds
surroundings: surroundings
survey: surveyed
survive: survive,survived
survivor: survivor
suspect: suspect,suspected,suspecting
suspend: suspended
suspicion: suspicion,suspicions
suspicious: suspicious
sussex: sussex
swag: swag
swain: swain
swamp: swamp
swan: swan
swarm: swarm
swash: swash
sway: swayed,swaying
swear: swear,swore,sworn
sweat: sweat,sweating
sweating: sweating
sweep: sweep,swept
sweeping: sweeping
sweet: sweet
sweetheart: sweetheart
sweetly: sweetly
sweetness: sweetness
swell: swelled
swift: swift
swiftly: swiftly
swim: swim
swimmer: swimmer
swimming: swimming
swing: swing,swung
swinging: swinging
swish: swish
swollen: swollen
swordsman: swordsman
syllable: syllables
sympathetic: sympathetic
sympathy: sympathy
symptom: symptom,symptoms
synonymous: synonymous
synthesis: synthesis
systematic: systematic
table: table
tack: tack
tackle: tackle
tag: tags
tail: tail,tailed,tailing,tails
tailless: tailless
taketh: taketh
takings: takings
tale: tale,tales
talent: talent
talk: talk,talked,talking
talker: talker
tall: tall,taller
tallish: tallish
tallow: tallow
tally: tallied
tangible: tangible
tangle: tangle,tangled
tangled: tangled
tap: tap,tapped,tapping
task: task
tassel: tassel
taste: taste
tattered: tattered
tattoo: tattoo,tattooed
tawny: tawny
tax: tax,taxes
tea: tea
teach: teach
tear: tear,tearing,tears,tore,torn
technical: technical
teetotaler: teetotaler
telegram: telegram
telegraph: telegraph
telephone: telephone
teller: teller
temper: temper,tempered
temperament: temperament
temperate: temperate
temple: temple,temples
temporary: temporary
tempt: tempted
temptation: temptation
tenable: tenable
tenacious: tenacious
tenant: tenant
tend: tend,tended
tendency: tendencies
tender: tender
tenfold: tenfold
tennessee: tennessee
tense: tense
tension: tension
tent: tents
term: term,terms
terminate: terminated
termination: termination
terrace: terraced
terrible: terrible
terribly: terribly
terrified: terrified
terror: terror
terrorising: terrorising
terse: terse
testament: testament
texas: texas
texture: texture
thames: thames
theft: theft
theological: theological
theoretical: theoretical
theorise: theorise
theory: theories,theory
thickening: thickening
thicket: thicket
thickly: thickly
thickness: thickness
